year,age_group,gender,area_code,area_name,pop_estimate
2014,All ages,Persons,W06000005,Flintshire,153819
2014,All ages,Persons,W06000006,Wrexham,135953
2014,All ages,Persons,W06000008,Ceredigion,75133
2014,All ages,Persons,W06000009,Pembrokeshire,123826
2014,All ages,Persons,W06000010,Carmarthenshire,184968
2014,All ages,Persons,W06000011,Swansea,240966
2014,All ages,Persons,W06000012,Neath Port Talbot,140453
2014,All ages,Persons,W06000013,Bridgend,141287
2014,All ages,Persons,W06000014,Vale of Glamorgan,128009
2014,All ages,Persons,W06000015,Cardiff,354829
2014,All ages,Persons,W06000016,Rhondda Cynon Taf,236871
